"deathtype","gene","description","gene_id","gene_biotype","pmid","comment"
"Autophagy_dependent_cell_death","ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase","ENSG00000011198.10","protein_coding",25315780,"increased activity of ABHD5 increases autophagy of cells,autophagy of mitochondria;increased activity of ABHD5 increases autophagy by muscle cell lines"
"Autophagy_dependent_cell_death","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase","ENSG00000097007.20","protein_coding",20841568,"increased activity of ABL1 affects autophagy"
"Autophagy_dependent_cell_death","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase","ENSG00000143322.22","protein_coding",20841568,"increased activity of ABL2 affects autophagy"
"Autophagy_dependent_cell_death","ACBD5","acyl-CoA binding domain containing 5","ENSG00000107897.20","protein_coding",24535825,"increased activity of ACBD5 increases autophagy of peroxisomes"
"Autophagy_dependent_cell_death","ACLY","ATP citrate lyase","ENSG00000131473.17","protein_coding",24560926,"decreased activity of ACLY increases autophagy"
"Autophagy_dependent_cell_death","ACP2","acid phosphatase 2, lysosomal","ENSG00000134575.13","protein_coding",18690537,"increased activity of ACP2 affects autophagic cell death"
"Autophagy_dependent_cell_death","ACSL1","acyl-CoA synthetase long chain family member 1","ENSG00000151726.16","protein_coding",26220174,"decreased activity of ACSL1 decreases autophagy"
"Autophagy_dependent_cell_death","ADIPOQ","adiponectin, C1Q and collagen domain containing","ENSG00000181092.10","protein_coding",23894332,"increased activity of ADIPOQ decreases autophagy of ventricular myocytes;decreased activity of ADIPOQ increases autophagy of cardiomyocytes"
"Autophagy_dependent_cell_death","AGT","angiotensinogen","ENSG00000135744.9","protein_coding",19433781,"increased activity of AGT increases autophagy of cardiomyocytes"
"Autophagy_dependent_cell_death","AGT","angiotensinogen","ENSG00000135744.9","protein_coding",23894332,"increased activity of AGT increases autophagy of cardiomyocytes"
"Autophagy_dependent_cell_death","AGT","angiotensinogen","ENSG00000135744.9","protein_coding",23326547,"increased activity of AGT increases autophagy of ventricular myocytes"
"Autophagy_dependent_cell_death","AGER","advanced glycosylation end-product specific receptor","ENSG00000204305.16","protein_coding",22509024,"decreased activity of AGER decreases autophagy of pancreatic cancer cell lines;decreased activity of AGER decreases autophagy"
"Autophagy_dependent_cell_death","AGER","advanced glycosylation end-product specific receptor","ENSG00000204305.16","protein_coding",19834494,"decreased activity of AGER decreases autophagy of pancreatic cancer cell lines"
"Autophagy_dependent_cell_death","AGER","advanced glycosylation end-product specific receptor","ENSG00000204305.16","protein_coding",22293957,"increased activity of AGER increases autophagy"
"Autophagy_dependent_cell_death","AGTR1","angiotensin II receptor type 1","ENSG00000144891.19","protein_coding",19433781,"increased activity of AGTR1 increases autophagy of cardiomyocytes"
"Autophagy_dependent_cell_death","AGTR2","angiotensin II receptor type 2","ENSG00000180772.8","protein_coding",19433781,"increased activity of AGTR2 decreases autophagy of cardiomyocytes"
"Autophagy_dependent_cell_death","AKT1","AKT serine/threonine kinase 1","ENSG00000142208.18","protein_coding",15833867,"increased activity of AKT1 decreases autophagy of brain cancer cell lines;decreased activity of AKT1 increases autophagy of brain cancer cell lines"
"Autophagy_dependent_cell_death","AKT1","AKT serine/threonine kinase 1","ENSG00000142208.18","protein_coding",11477064,"decreased activity of AKT1 increases macroautophagy of cells;increased activity of AKT1 decreases macroautophagy of cells"
"Autophagy_dependent_cell_death","AKT1","AKT serine/threonine kinase 1","ENSG00000142208.18","protein_coding",21307249,"increased activity of AKT1 decreases autophagy of dopaminergic neurons,macroautophagy of cells"
"Autophagy_dependent_cell_death","AKT1","AKT serine/threonine kinase 1","ENSG00000142208.18","protein_coding",18054315,"increased activity of AKT1 decreases autophagy of muscle"
"Autophagy_dependent_cell_death","AKT1","AKT serine/threonine kinase 1","ENSG00000142208.18","protein_coding",21307130,"decreased activity of AKT1 increases autophagy of brain cancer cell lines"
"Autophagy_dependent_cell_death","AKT1","AKT serine/threonine kinase 1","ENSG00000142208.18","protein_coding",18838554,"decreased activity of AKT1 increases autophagy of brain cancer cell lines;decreased activity of AKT1 increases autophagy of brain cancer cell lines;decreased activity of AKT1 increases autophagy of prostate cancer cell lines;decreased activity of AKT1 increases autophagy of prostate cancer cell lines"
"Autophagy_dependent_cell_death","AKT1","AKT serine/threonine kinase 1","ENSG00000142208.18","protein_coding",18387192,"increased activity of AKT1 decreases autophagy"
"Autophagy_dependent_cell_death","AKT2","AKT serine/threonine kinase 2","ENSG00000105221.18","protein_coding",21307130,"decreased activity of AKT2 increases autophagy of brain cancer cell lines"
"Autophagy_dependent_cell_death","AKT2","AKT serine/threonine kinase 2","ENSG00000105221.18","protein_coding",18838554,"decreased activity of AKT2 increases autophagy of brain cancer cell lines;decreased activity of AKT2 increases autophagy of brain cancer cell lines;decreased activity of AKT2 increases autophagy of prostate cancer cell lines;decreased activity of AKT2 increases autophagy of prostate cancer cell lines"
"Autophagy_dependent_cell_death","AKT3","AKT serine/threonine kinase 3","ENSG00000117020.19","protein_coding",21307130,"decreased activity of AKT3 increases autophagy of brain cancer cell lines"
"Autophagy_dependent_cell_death","AKT3","AKT serine/threonine kinase 3","ENSG00000117020.19","protein_coding",18838554,"decreased activity of AKT3 increases autophagy of brain cancer cell lines;decreased activity of AKT3 increases autophagy of prostate cancer cell lines;decreased activity of AKT3 increases autophagy of prostate cancer cell lines"
"Autophagy_dependent_cell_death","AKT3","AKT serine/threonine kinase 3","ENSG00000117020.19","protein_coding",24081905,"decreased activity of AKT3 increases autophagy of vascular endothelial cells"
"Autophagy_dependent_cell_death","ALB","albumin","ENSG00000163631.17","protein_coding",23698718,"increased activity of ALB decreases autophagy of pancreatic cancer cell lines"
"Autophagy_dependent_cell_death","AMBRA1","autophagy and beclin 1 regulator 1","ENSG00000110497.15","protein_coding",20145727,"increased activity of AMBRA1 increases autophagy"
"Autophagy_dependent_cell_death","AMBRA1","autophagy and beclin 1 regulator 1","ENSG00000110497.15","protein_coding",17589504,"increased activity of AMBRA1 affects autophagy"
"Autophagy_dependent_cell_death","AMBRA1","autophagy and beclin 1 regulator 1","ENSG00000110497.15","protein_coding",20125189,"increased activity of AMBRA1 increases formation of autophagosomes"
"Autophagy_dependent_cell_death","AMBRA1","autophagy and beclin 1 regulator 1","ENSG00000110497.15","protein_coding",25117440,"increased activity of AMBRA1 increases autophagy"
"Autophagy_dependent_cell_death","AMFR","autocrine motility factor receptor","ENSG00000159461.15","protein_coding",23427266,"increased activity of AMFR increases autophagy of mitochondria;decreased activity of AMFR decreases autophagy of mitochondria;increased activity of AMFR increases autophagy of mitochondria"
"Autophagy_dependent_cell_death","ANXA7","annexin A7","ENSG00000138279.16","protein_coding",24007983,"increased activity of ANXA7 affects autophagy"
"Autophagy_dependent_cell_death","APAF1","apoptotic peptidase activating factor 1","ENSG00000120868.14","protein_coding",18256270,"decreased activity of APAF1 increases autophagy of neurons"
"Autophagy_dependent_cell_death","APOL1","apolipoprotein L1","ENSG00000100342.22","protein_coding",18505729,"increased activity of APOL1 increases autophagic cell death;increased activity of APOL1 increases autophagic cell death"
"Autophagy_dependent_cell_death","APOL6","apolipoprotein L6","ENSG00000221963.6","protein_coding",21646352,"increased activity of APOL6 increases autophagy"
"Autophagy_dependent_cell_death","APP","amyloid beta precursor protein","ENSG00000142192.22","protein_coding",20660724,"increased activity of APP increases autophagy of brain cancer cell lines"
"Autophagy_dependent_cell_death","APP","amyloid beta precursor protein","ENSG00000142192.22","protein_coding",23505467,"increased activity of APP increases autophagy of hepatoma cell lines"
"Autophagy_dependent_cell_death","APP","amyloid beta precursor protein","ENSG00000142192.22","protein_coding",26663083,"unknown change in activity of APP affects autophagy"
"Autophagy_dependent_cell_death","ARF6","ADP ribosylation factor 6","ENSG00000165527.8","protein_coding",22351926,"decreased activity of ARF6 affects formation of autophagosomes;increased activity of ARF6 affects formation of autophagosomes"
"Autophagy_dependent_cell_death","ARSA","arylsulfatase A","ENSG00000100299.18","protein_coding",8037,"increased activity of ARSA affects autophagy"
"Autophagy_dependent_cell_death","ARSB","arylsulfatase B","ENSG00000113273.17","protein_coding",8037,"increased activity of ARSB affects autophagy"
"Autophagy_dependent_cell_death","ATF4","activating transcription factor 4","ENSG00000128272.18","protein_coding",20145727,"increased activity of ATF4 affects autophagy of breast cancer cell lines"
"Autophagy_dependent_cell_death","ATG10","autophagy related 10","ENSG00000152348.16","protein_coding",15657430,"increased activity of ATG10 affects autophagy"
"Autophagy_dependent_cell_death","ATG10","autophagy related 10","ENSG00000152348.16","protein_coding",23451179,"decreased activity of ATG10 decreases autophagy of colorectal cancer cell lines"
"Autophagy_dependent_cell_death","ATG12","autophagy related 12","ENSG00000145782.13","protein_coding",20077024,"increased activity of ATG12 affects formation of autophagosomes;decreased activity of ATG12 decreases autophagy of cells"
