"deathtype","gene","description","gene_id","gene_biotype","pmid","comment"
"Cuproptosis","MTF1","metal regulatory transcription factor 1","ENSG00000188786.10","protein_coding",35298263,"Negative hits. To identify the specific metabolic pathways that mediate copper toxicity, we performed genome-wide CRISPR-Cas9 loss-of-function screens to identify the genes involved in copper ionophore_induced death."
"Cuproptosis","GLS","glutaminase","ENSG00000115419.14","protein_coding",35298263,"Negative hits. To identify the specific metabolic pathways that mediate copper toxicity, we performed genome-wide CRISPR-Cas9 loss-of-function screens to identify the genes involved in copper ionophore_induced death."
"Cuproptosis","CDKN2A","cyclin dependent kinase inhibitor 2A","ENSG00000147889.18","protein_coding",35298263,"Negative hits. To identify the specific metabolic pathways that mediate copper toxicity, we performed genome-wide CRISPR-Cas9 loss-of-function screens to identify the genes involved in copper ionophore_induced death."
"Cuproptosis","DNA2","DNA replication helicase/nuclease 2","ENSG00000138346.15","protein_coding",35298263,"Mass spectrometric analysis also revealed that copper ionophore treatment leads to loss of Fe-S cluster proteins (Fig. 6, A and B) in an FDX1-dependent manner (Fig. 6C) as well as the induction of proteotoxic stress (Fig. 6, B and C; fig. S8A; and table S4). Whether such loss of Fe-S cluster proteins contributes to the copper ionophore death phenotype remains to be determined."
"Cuproptosis","NTHL1","nth like DNA glycosylase 1","ENSG00000065057.9","protein_coding",35298263,"Mass spectrometric analysis also revealed that copper ionophore treatment leads to loss of Fe-S cluster proteins (Fig. 6, A and B) in an FDX1-dependent manner (Fig. 6C) as well as the induction of proteotoxic stress (Fig. 6, B and C; fig. S8A; and table S4). Whether such loss of Fe-S cluster proteins contributes to the copper ionophore death phenotype remains to be determined."
"Cuproptosis","POLE","DNA polymerase epsilon, catalytic subunit","ENSG00000177084.19","protein_coding",35298263,"Mass spectrometric analysis also revealed that copper ionophore treatment leads to loss of Fe-S cluster proteins (Fig. 6, A and B) in an FDX1-dependent manner (Fig. 6C) as well as the induction of proteotoxic stress (Fig. 6, B and C; fig. S8A; and table S4). Whether such loss of Fe-S cluster proteins contributes to the copper ionophore death phenotype remains to be determined."
"Cuproptosis","POLD1","DNA polymerase delta 1, catalytic subunit","ENSG00000062822.16","protein_coding",35298263,"Mass spectrometric analysis also revealed that copper ionophore treatment leads to loss of Fe-S cluster proteins (Fig. 6, A and B) in an FDX1-dependent manner (Fig. 6C) as well as the induction of proteotoxic stress (Fig. 6, B and C; fig. S8A; and table S4). Whether such loss of Fe-S cluster proteins contributes to the copper ionophore death phenotype remains to be determined."
"Cuproptosis","CISD1","CDGSH iron sulfur domain 1","ENSG00000122873.12","protein_coding",35298263,"Mass spectrometric analysis also revealed that copper ionophore treatment leads to loss of Fe-S cluster proteins (Fig. 6, A and B) in an FDX1-dependent manner (Fig. 6C) as well as the induction of proteotoxic stress (Fig. 6, B and C; fig. S8A; and table S4). Whether such loss of Fe-S cluster proteins contributes to the copper ionophore death phenotype remains to be determined."
"Cuproptosis","GLRX5","glutaredoxin 5","ENSG00000182512.5","protein_coding",35298263,"Mass spectrometric analysis also revealed that copper ionophore treatment leads to loss of Fe-S cluster proteins (Fig. 6, A and B) in an FDX1-dependent manner (Fig. 6C) as well as the induction of proteotoxic stress (Fig. 6, B and C; fig. S8A; and table S4). Whether such loss of Fe-S cluster proteins contributes to the copper ionophore death phenotype remains to be determined."
"Cuproptosis","PPAT","phosphoribosyl pyrophosphate amidotransferase","ENSG00000128059.8","protein_coding",35298263,"Mass spectrometric analysis also revealed that copper ionophore treatment leads to loss of Fe-S cluster proteins (Fig. 6, A and B) in an FDX1-dependent manner (Fig. 6C) as well as the induction of proteotoxic stress (Fig. 6, B and C; fig. S8A; and table S4). Whether such loss of Fe-S cluster proteins contributes to the copper ionophore death phenotype remains to be determined."
"Cuproptosis","RTEL1","regulator of telomere elongation helicase 1","ENSG00000258366.12","protein_coding",35298263,"Mass spectrometric analysis also revealed that copper ionophore treatment leads to loss of Fe-S cluster proteins (Fig. 6, A and B) in an FDX1-dependent manner (Fig. 6C) as well as the induction of proteotoxic stress (Fig. 6, B and C; fig. S8A; and table S4). Whether such loss of Fe-S cluster proteins contributes to the copper ionophore death phenotype remains to be determined."
"Cuproptosis","ELP3","elongator acetyltransferase complex subunit 3","ENSG00000134014.18","protein_coding",35298263,"Mass spectrometric analysis also revealed that copper ionophore treatment leads to loss of Fe-S cluster proteins (Fig. 6, A and B) in an FDX1-dependent manner (Fig. 6C) as well as the induction of proteotoxic stress (Fig. 6, B and C; fig. S8A; and table S4). Whether such loss of Fe-S cluster proteins contributes to the copper ionophore death phenotype remains to be determined."
"Cuproptosis","CDK5RAP1","CDK5 regulatory subunit associated protein 1","ENSG00000101391.21","protein_coding",35298263,"Mass spectrometric analysis also revealed that copper ionophore treatment leads to loss of Fe-S cluster proteins (Fig. 6, A and B) in an FDX1-dependent manner (Fig. 6C) as well as the induction of proteotoxic stress (Fig. 6, B and C; fig. S8A; and table S4). Whether such loss of Fe-S cluster proteins contributes to the copper ionophore death phenotype remains to be determined."
"Cuproptosis","ISCA2","iron-sulfur cluster assembly 2","ENSG00000165898.14","protein_coding",35298263,"Mass spectrometric analysis also revealed that copper ionophore treatment leads to loss of Fe-S cluster proteins (Fig. 6, A and B) in an FDX1-dependent manner (Fig. 6C) as well as the induction of proteotoxic stress (Fig. 6, B and C; fig. S8A; and table S4). Whether such loss of Fe-S cluster proteins contributes to the copper ionophore death phenotype remains to be determined."
"Cuproptosis","ETFDH","electron transfer flavoprotein dehydrogenase","ENSG00000171503.13","protein_coding",35298263,"Mass spectrometric analysis also revealed that copper ionophore treatment leads to loss of Fe-S cluster proteins (Fig. 6, A and B) in an FDX1-dependent manner (Fig. 6C) as well as the induction of proteotoxic stress (Fig. 6, B and C; fig. S8A; and table S4). Whether such loss of Fe-S cluster proteins contributes to the copper ionophore death phenotype remains to be determined."
"Cuproptosis","HSPA1A","heat shock protein family A (Hsp70) member 1A","ENSG00000204389.10","protein_coding",35298263,"Comparing the livers of aged Atp7b-deficient (Atp7b_/_) mice with those of Atp7b heterozygous (Atp7b_/+) and wild-type control mice, we observed loss of lipoylated and Fe-S cluster proteins, as well as an increase in Hsp70 abundance (Fig. 6K and table S5)."
"Cuproptosis","HSPA1B","heat shock protein family A (Hsp70) member 1B","ENSG00000204388.7","protein_coding",35298263,"Comparing the livers of aged Atp7b-deficient (Atp7b_/_) mice with those of Atp7b heterozygous (Atp7b_/+) and wild-type control mice, we observed loss of lipoylated and Fe-S cluster proteins, as well as an increase in Hsp70 abundance (Fig. 6K and table S5)."
"Cuproptosis","ATP7A","ATPase copper transporting alpha","ENSG00000165240.22","protein_coding",35298263,"Not studied in the source article"
