"deathtype","gene","description","gene_id","gene_biotype","pmid","comment"
"Immunogenic_cell_death","CALR","calreticulin","ENSG00000179218.15","protein_coding",37020026,"The NK cell receptor NKp46 can recognize exocalmodulin and induce NK cells to kill ER stressed cells. CALR knockout or CALR mutation inhibits the binding and killing effect of NKp46-Ig, while CALR-complemented cells can express ecto-CRT and bind and kill NK cells via NKp46."
"Immunogenic_cell_death","KLRK1","killer cell lectin like receptor K1","ENSG00000213809.9","protein_coding",37020026,"Ecto-calreticulin is a marker of cellular stress. T + P treatment (formed by trametinib and palbociclib) induced ER stress and cell aging in KRAS mutant human lung cancer A549, and improved the expression of CRT and RAE1. "
"Immunogenic_cell_death","HMGB1","high mobility group box 1","ENSG00000189403.15","protein_coding",23151605,"HMGB1 plays a key role by binding with beclin 1. Macrophages and monocytes activated by IL-1¦Â, tumor necrosis factor, or lipopolysaccharide can secrete HMGB1 as a cytokine through the secretion pathway."
"Immunogenic_cell_death","HSPA1A","heat shock protein family A (Hsp70) member 1A","ENSG00000204389.10","protein_coding",25964865,"The function of HSP70 is to stimulate anti-tumor immune response through TLR4 signaling pathway through the release of heat shock protein, which is an important supplement to the immunogenic cell death induced by hyperthermia and radiotherapy. The role of HSP70 can play an immunostimulating role in the DC-mediated phagocytosis and treatment of tumor cells by increasing the ability of DC phagocytosis."
"Immunogenic_cell_death","HSPA1B","heat shock protein family A (Hsp70) member 1B","ENSG00000204388.7","protein_coding",25964865,"The function of HSP70 is to stimulate anti-tumor immune response through TLR4 signaling pathway through the release of heat shock protein, which is an important supplement to the immunogenic cell death induced by hyperthermia and radiotherapy. The role of HSP70 can play an immunostimulating role in the DC-mediated phagocytosis and treatment of tumor cells by increasing the ability of DC phagocytosis."
"Immunogenic_cell_death","HSPA1L","heat shock protein family A (Hsp70) member 1 like","ENSG00000204390.10","protein_coding",25964865,"The function of HSP70 is to stimulate anti-tumor immune response through TLR4 signaling pathway through the release of heat shock protein, which is an important supplement to the immunogenic cell death induced by hyperthermia and radiotherapy. The role of HSP70 can play an immunostimulating role in the DC-mediated phagocytosis and treatment of tumor cells by increasing the ability of DC phagocytosis."
"Immunogenic_cell_death","HSP90AA1","heat shock protein 90 alpha family class A member 1","ENSG00000080824.19","protein_coding",25964865,"By signaling with Toll-like receptor 4 (TLR4), HSP70 and other heat shock proteins can be released during hyperthermia and then play a major role in tumor-specific immune responses"
"Immunogenic_cell_death","HSP90AB1","heat shock protein 90 alpha family class B member 1","ENSG00000096384.20","protein_coding",25964865,"By signaling with Toll-like receptor 4 (TLR4), HSP70 and other heat shock proteins can be released during hyperthermia and then play a major role in tumor-specific immune responses"
"Immunogenic_cell_death","HSPA5","heat shock protein family A (Hsp70) member 5","ENSG00000044574.9","protein_coding",35658433,"In this study, an iridium (III) ionic complex regulates Immunogenic cell death (ICD) in cells by inducing endoplasmic reticulum stress. Meanwhile, the design of a clickable photoaffinity probe has shown that this complex interacts effectively with the unfolded protein response regulator BiP (binding immunoglobulin protein) under cellular conditions. In addition, further biochemical experiments showed that the complex can significantly destroy BiP and its ATPase activity, indicating that BiP is an ICD target. "
"Immunogenic_cell_death","CD47","CD47 molecule","ENSG00000196776.17","protein_coding",35402082,"PKHB1 is a thrombospondin-1 peptide mimic that induces immunogenic cell death in different cancer cells by inducing immunogenic cell death inducers and in breast cancer and T-cell acute lymphoblastic leukemia. Specifically, PKHB1 induces immunogenic cell death through activation of CD47 and has long-term antitumor effects."
"Immunogenic_cell_death","ATF3","activating transcription factor 3","ENSG00000162772.17","protein_coding",33762577,"Oleandrin,a cardiac glycoside,induces ER stress through the PERK/elF2¦Á/ATF4/CHOP pathway, and then releases signal molecules such as CRT and HMGB1 to the cell surface,thus producing a ""phagocytic"" signal that further enhances DCs¡¯ presentation of tumor antigens and activation of T cells.Activated transcription factor 3 (ATF3), a downstream gene of the endoplasmic reticulum stress pathway, mediates the cell death effect of cardiac glycosides together with CHOP and ATF4."
"Immunogenic_cell_death","DDIT3","DNA damage inducible transcript 3","ENSG00000175197.13","protein_coding",33762577,"Oleandrin,a cardiac glycoside,can cause immunogenic cell death (ICD) in breast cancer cells and enhance the maturation and activation of dendritic cells (DCs), thus promoting cytotoxic effects of CD8+T cells. This process is mainly achieved by inducing pathological endoplasmic reticulum stress (PERK/elF2¦Á/ATF4/CHOP pathway). The process also leads to the expression of calcium-binding steroid-binding proteins (calreticulin, CRT) on the cell surface and the release of highly migratory extracellular proteins B1 (HMGB1) and adenosine triphosphate (ATP). These results indicate that DDIT3 (CHOP) is involved in the process and regulates the release of HMGB1."
"Immunogenic_cell_death","ATF4","activating transcription factor 4","ENSG00000128272.18","protein_coding",33762577,"Oleandrin,a cardiac glycoside,induces ER stress through the PERK/elF2¦Á/ATF4/CHOP pathway, and then releases signal molecules such as CRT and HMGB1 to the cell surface,thus producing a ""phagocytic"" signal that further enhances DCs¡¯ presentation of tumor antigens and activation of T cells."
"Immunogenic_cell_death","PTMA","prothymosin alpha","ENSG00000187514.17","protein_coding",35563721,"During immunogenic cell death, dead or dying cells release DAMPs, which include high mobility group protein 1 and calcium ion regulatory protein CRT, as well as immunoreactive fragments proT¦Á (100-109) of prothymosin alpha and prothymosin alpha."
"Immunogenic_cell_death","TLR4","toll like receptor 4","ENSG00000136869.16","protein_coding",33179413,"HMGB1 mediates potent pro-inflammatory effects by binding to TLR4 on DCs to stimulate efficient processing and cross-presentation of tumor antigens from dying cells.Breast cancer patients with a TLR4 loss-of-function allele, that prevents HMGB1 binding to TLR4, are more prone to relapse after radiotherapy or chemotherapy."
"Immunogenic_cell_death","TLR3","toll like receptor 3","ENSG00000164342.14","protein_coding",33179413,"TLR3 activates Necroptosis by sensing viral nucleic acids, which in turn releases signals of immunogenic cell death and induces an immune response to attack cancer cells."
"Immunogenic_cell_death","IFNAR1","interferon alpha and beta receptor subunit 1","ENSG00000142166.15","protein_coding",33179413,"Upon contact with mature dendritic cells (DCs), stem cells provide myeloid differentiation and retrovirus expression, and produce IFN¦Á and IFN¦Â to induce dendritic cell activation. This leads to a regulatory T cell immune response, so regulating the dendritic cell response to IFNAR1 stimulation may influence immunogenic cell death in cancer cells."
"Immunogenic_cell_death","IFNA1","interferon alpha 1","ENSG00000197919.6","protein_coding",33920544,"IFN ¦Á is activated by the cGAS-STING pathway and promotes IFN-I-driven inflammatory programs.Activation of the IFN-I response and associated cytokine mediated antigen-mediated cytotoxicity are integral in radiotherapy-induced ICDs."
"Immunogenic_cell_death","IFNA2","interferon alpha 2","ENSG00000188379.7","protein_coding",33920544,"IFN ¦Á is activated by the cGAS-STING pathway and promotes IFN-I-driven inflammatory programs.Activation of the IFN-I response and associated cytokine mediated antigen-mediated cytotoxicity are integral in radiotherapy-induced ICDs."
"Immunogenic_cell_death","IFNA4","interferon alpha 4","ENSG00000236637.5","protein_coding",33920544,"IFN ¦Á is activated by the cGAS-STING pathway and promotes IFN-I-driven inflammatory programs.Activation of the IFN-I response and associated cytokine mediated antigen-mediated cytotoxicity are integral in radiotherapy-induced ICDs."
"Immunogenic_cell_death","IFNA5","interferon alpha 5","ENSG00000147873.6","protein_coding",33920544,"IFN ¦Á is activated by the cGAS-STING pathway and promotes IFN-I-driven inflammatory programs.Activation of the IFN-I response and associated cytokine mediated antigen-mediated cytotoxicity are integral in radiotherapy-induced ICDs."
"Immunogenic_cell_death","IFNA6","interferon alpha 6","ENSG00000120235.5","protein_coding",33920544,"IFN ¦Á is activated by the cGAS-STING pathway and promotes IFN-I-driven inflammatory programs.Activation of the IFN-I response and associated cytokine mediated antigen-mediated cytotoxicity are integral in radiotherapy-induced ICDs."
"Immunogenic_cell_death","IFNA7","interferon alpha 7","ENSG00000214042.1","protein_coding",33920544,"IFN ¦Á is activated by the cGAS-STING pathway and promotes IFN-I-driven inflammatory programs.Activation of the IFN-I response and associated cytokine mediated antigen-mediated cytotoxicity are integral in radiotherapy-induced ICDs."
"Immunogenic_cell_death","IFNA8","interferon alpha 8","ENSG00000120242.4","protein_coding",33920544,"IFN ¦Á is activated by the cGAS-STING pathway and promotes IFN-I-driven inflammatory programs.Activation of the IFN-I response and associated cytokine mediated antigen-mediated cytotoxicity are integral in radiotherapy-induced ICDs."
"Immunogenic_cell_death","IFNA10","interferon alpha 10","ENSG00000186803.3","protein_coding",33920544,"IFN ¦Á is activated by the cGAS-STING pathway and promotes IFN-I-driven inflammatory programs.Activation of the IFN-I response and associated cytokine mediated antigen-mediated cytotoxicity are integral in radiotherapy-induced ICDs."
"Immunogenic_cell_death","IFNA13","interferon alpha 13","ENSG00000233816.4","protein_coding",33920544,"IFN ¦Á is activated by the cGAS-STING pathway and promotes IFN-I-driven inflammatory programs.Activation of the IFN-I response and associated cytokine mediated antigen-mediated cytotoxicity are integral in radiotherapy-induced ICDs."
"Immunogenic_cell_death","IFNA14","interferon alpha 14","ENSG00000228083.3","protein_coding",33920544,"IFN ¦Á is activated by the cGAS-STING pathway and promotes IFN-I-driven inflammatory programs.Activation of the IFN-I response and associated cytokine mediated antigen-mediated cytotoxicity are integral in radiotherapy-induced ICDs."
"Immunogenic_cell_death","IFNA16","interferon alpha 16","ENSG00000147885.4","protein_coding",33920544,"IFN ¦Á is activated by the cGAS-STING pathway and promotes IFN-I-driven inflammatory programs.Activation of the IFN-I response and associated cytokine mediated antigen-mediated cytotoxicity are integral in radiotherapy-induced ICDs."
"Immunogenic_cell_death","IFNA17","interferon alpha 17","ENSG00000234829.4","protein_coding",33920544,"IFN ¦Á is activated by the cGAS-STING pathway and promotes IFN-I-driven inflammatory programs.Activation of the IFN-I response and associated cytokine mediated antigen-mediated cytotoxicity are integral in radiotherapy-induced ICDs."
"Immunogenic_cell_death","IFNA21","interferon alpha 21","ENSG00000137080.4","protein_coding",33920544,"IFN ¦Á is activated by the cGAS-STING pathway and promotes IFN-I-driven inflammatory programs.Activation of the IFN-I response and associated cytokine mediated antigen-mediated cytotoxicity are integral in radiotherapy-induced ICDs."
"Immunogenic_cell_death","CGAS","cyclic GMP-AMP synthase","ENSG00000164430.17","protein_coding",33920544,"CGAS activates downstream Stimulator of interferon genes(STING) to promote type I interferon (IFN-I) expression and trigger IFN-I-driven inflammatory response, which is one of the key events for ICD signaling."
"Immunogenic_cell_death","STING1","stimulator of interferon response cGAMP interactor 1","ENSG00000184584.14","protein_coding",33920544,"STING is a downstream adaptation molecule in the cGAS-STING pathway, which detects DNA in the cytoplasm as DAMP and activates the pathway, thus triggering the expression of IFN-I and promoting immune inflammatory response."
"Immunogenic_cell_death","XBP1","X-box binding protein 1","ENSG00000100219.17","protein_coding",27135741,"The BRAF V600E mutation affects the splicing of XBP1, which ADAPTS tumor cells to the ER stress response and blocks the induction of immune cell death."
"Immunogenic_cell_death","STAT3","signal transducer and activator of transcription 3","ENSG00000168610.16","protein_coding",32100392,"Targeting signal transduction and transcriptional activator 3 (STAT3) enhances ICD induction in NDV-infected prostate cancer cells"
