"deathtype","gene","description","gene_id","gene_biotype","pmid","comment"
"MPT_driven_necrosis","ATP5F1A","ATP synthase F1 subunit alpha","ENSG00000152234","protein_coding",30874894,"ATP5A1 is a subunit of mitochondrial ATP synthase complex V, while MPT is the mitochondrial permeability transition pore, whose opening is one of the important mechanisms leading to necrosis. The study showed that up-regulation of mitochondrial CAPN1 can inhibit the expression of ATP5A1 and the activity of ATP synthase and induce the opening of MPT."
"MPT_driven_necrosis","ATP5F1B","ATP synthase F1 subunit beta","ENSG00000110955","protein_coding",30244272,"ATP5B is associated with MPT-driven necrosis. By inhibiting ATP synthesis, the ATP synthase complex of ATP5B increases the opening of mitochondrial permeability transition (MPT), causing mitochondrial dysfunction and inducing cell death."
"MPT_driven_necrosis","CAPN1","calpain 1","ENSG00000014216.16","protein_coding",30874894,"Localized CAPN1 to mitochondria contributes to the stimulation of mitochondrial superoxide generation, which leads to the initiation of mPTP and subsequently induces cell death."
"MPT_driven_necrosis","ROCK1","Rho associated coiled-coil containing protein kinase 1","ENSG00000067900.8","protein_coding",25305180,"ROCK1 participates in the MPT-driven necrosis during myocardial ischemia-reperfusion (I/R) injury."
"MPT_driven_necrosis","ATP5PF","ATP synthase peripheral stalk subunit F6","ENSG00000154723","protein_coding",33937399,"ATP5J protein participates in ER stress and mitochondrial membrane potential, and thus is involved in cell necrosis caused by MPT."
"MPT_driven_necrosis","SPG7","SPG7 matrix AAA peptidase subunit, paraplegin","ENSG00000197912.16","protein_coding",26387735,"SPG7 has been identified as a crucial component of the mitochondrial permeability transition pore (PTP) complex and is responsible for regulating its function. The researchers found that the loss of SPG7 results in a sustained mitochondrial membrane potential during Ca2+ and ROS stress, which is unable to induce PTP opening, ultimately leading to the disruption of normal mitochondrial processes such as ATP production and function, ultimately resulting in cell death."
"MPT_driven_necrosis","PPIF","Peptidylprolyl Isomerase F","ENSG00000108179","protein_coding",17417626,"localized CAPN1 to mitochondria contributes to the stimulation of mitochondrial superoxide generation, which leads to the initiation of mPTP and subsequently induces cell death."
"MPT_driven_necrosis","NLRP3","NLR family pyrin domain containing 3","ENSG00000162711.18","protein_coding",34718331,"Our mechanistic studies reveal that Mtb triggers mitochondrial permeability transition (mPT) and subsequently extensive macrophage necrosis, which requires activation of the NLRP3 inflammasome. NLRP3-driven mitochondrial damage is dependent on proteolytic activation of the pore-forming effector protein gasdermin D (GSDMD), which links two distinct cell death machineries."
"MPT_driven_necrosis","BID","BH3 interacting domain death agonist","ENSG00000015475.19","protein_coding",17417626,"BID is involved in MPT-driven necrosis. Endogenous Bax and Bid activation catalyzes cytochrome c release and cooperatively induces cell death."
"MPT_driven_necrosis","BCL2L11","BCL2 like 11","ENSG00000153094.24","protein_coding",25143432,"BIRO1 derived from the BCL2L11 death domain is effective in promoting retinoblastoma cell death by initiating mitochondrial fragmentation. The interaction between BIRO1 and BCL2L11 decreases the BCL2L1/BID interaction, while increasing the BCL2L1/HK2 and BCL2L1/VDAC1 interactions. At the same time, it strengthens the VDAC1/BCL2L1 binding, thereby enhancing mitochondrial outer membrane permeability and ultimately leading to MPT-driven necrosis."
"MPT_driven_necrosis","BAD","BCL2 associated agonist of cell death","ENSG00000002330.14","protein_coding",19217411,"BAD induces MPT-driven cell death by sensitizing the opening of the mitochondrial permeability transition pore (PTP) through dephosphorylation of the sensitivity peptide."
"MPT_driven_necrosis","PMAIP1","phorbol-12-myristate-13-acetate-induced protein 1","ENSG00000141682.12","protein_coding",31285435,"PMAIP1 induces mitochondrial fragmentation and delivery to mitochondria through its mitochondrial targeting domain (MTD) by interacting with the mitochondrial outer membrane protein VDAC2. The extended MTD (eMTD) peptide induces necrotic cell death by interacting with the VDAC2 protein, leading to mitochondrial swelling, fragmentation, and ROS generation. The MTD domain is involved in mitochondrial damage during cell death by opening the mitochondrial permeability transition pore (mPTP) through VDACs, including VDAC2, and participating in MPT-driven necrosis."
"MPT_driven_necrosis","HRK","harakiri, BCL2 interacting protein","ENSG00000135116.9","protein_coding",31135059,"In muscle cells, HRK causes mitochondrial dysfunction, resulting in damaged cell membranes and necrosis."
"MPT_driven_necrosis","PPARGC1A","PPARG coactivator 1 alpha","ENSG00000109819.9","protein_coding",16239931,"PPARGC1A regulates mitochondrial calcium uptake and thus affects the way mitochondria participate in cell death. Specifically, PGC-1a reduces cellular sensitivity to C2 ceramide-induced apoptosis by reducing mitochondrial calcium uptake, which leads to a protective effect against cell death."
"MPT_driven_necrosis","VDAC1","voltage dependent anion channel 1","ENSG00000213585.11","protein_coding",17417626,"Ca(2+)- and oxidative-stress-induced MPT and cell death was unaltered, or even exacerbated, in fibroblasts lacking Vdac1, Vdac2, Vdac3, Vdac1-Vdac3 and Vdac1-Vdac2-Vdac3. Wild-type and Vdac-deficient mitochondria and cells also exhibited equivalent cytochrome c release, caspase cleavage and cell death in response to the pro-death Bcl-2 family members Bax and Bid. These results indicate that Vdacs are dispensable for both MPT and Bcl-2 family member-driven cell death."
"MPT_driven_necrosis","VDAC2","voltage dependent anion channel 2","ENSG00000165637.14","protein_coding",31285435,"The MTD domain of Noxa causes mitochondrial damage by opening mPTP through VDACs, especially VDAC2, during necrotic cell death."
"MPT_driven_necrosis","VDAC2","voltage dependent anion channel 2","ENSG00000165637.14","protein_coding",17417626,"Ca(2+)- and oxidative-stress-induced MPT and cell death was unaltered, or even exacerbated, in fibroblasts lacking Vdac1, Vdac2, Vdac3, Vdac1-Vdac3 and Vdac1-Vdac2-Vdac3. Wild-type and Vdac-deficient mitochondria and cells also exhibited equivalent cytochrome c release, caspase cleavage and cell death in response to the pro-death Bcl-2 family members Bax and Bid. These results indicate that Vdacs are dispensable for both MPT and Bcl-2 family member-driven cell death."
"MPT_driven_necrosis","VDAC3","voltage dependent anion channel 3","ENSG00000078668.14","protein_coding",17417626,"Ca(2+)- and oxidative-stress-induced MPT and cell death was unaltered, or even exacerbated, in fibroblasts lacking Vdac1, Vdac2, Vdac3, Vdac1-Vdac3 and Vdac1-Vdac2-Vdac3. Wild-type and Vdac-deficient mitochondria and cells also exhibited equivalent cytochrome c release, caspase cleavage and cell death in response to the pro-death Bcl-2 family members Bax and Bid. These results indicate that Vdacs are dispensable for both MPT and Bcl-2 family member-driven cell death."
"MPT_driven_necrosis","MCU","mitochondrial calcium uniporter","ENSG00000156026.15","protein_coding",32801213,"Ca(2+)- and oxidative-stress-induced MPT and cell death was unaltered, or even exacerbated, in fibroblasts lacking Vdac1, Vdac2, Vdac3, Vdac1-Vdac3 and Vdac1-Vdac2-Vdac3. Wild-type and Vdac-deficient mitochondria and cells also exhibited equivalent cytochrome c release, caspase cleavage and cell death in response to the pro-death Bcl-2 family members Bax and Bid. These results indicate that Vdacs are dispensable for both MPT and Bcl-2 family member-driven cell death."
"MPT_driven_necrosis","BAK1","BCL2 antagonist/killer 1","ENSG00000030110.14","protein_coding",25999420,"By controlling the permeability characteristics of the outer mitochondrial membrane, BAK1 regulates membrane permeability in regulated necrotic cell death processes and is associated with regulated necrosis, and plays a crucial role in the regulation of cell death control mechanisms."
"MPT_driven_necrosis","SLC25A4","solute carrier family 25 member 4","ENSG00000151729.11","protein_coding",25613378,"SLC25A4 ( ANT2) was found to play a critical role in defective erythrocyte and B lymphocyte differentiation. The absence of ANT2 leads to mitochondrial oxidative stress and dysfunction linked to mitochondrial permeability transition (MPT)-driven necrosis."
"MPT_driven_necrosis","SLC25A5","solute carrier family 25 member 5","ENSG00000005022.6","protein_coding",25613378,"Depletion of SLC25A5 leads to the death of mice, accompanied by oxidative stress and mitochondrial dysfunction after 4 weeks. Associated with mitochondrial calcium handling, loss of SLC25A5 can regulate the opening of mitochondrial permeability transition pore (MPT), leading to MPT-driven necrosis."
"MPT_driven_necrosis","SLC25A6","solute carrier family 25 member 6","ENSG00000169100.14","protein_coding",25613378,"The depletion of Ant2 affects the permeability of mitochondrial membranes, leading to the entrance of calcium ions, ROS and other substances into the cytoplasm and causing cell death."
"MPT_driven_necrosis","SLC25A6","solute carrier family 25 member 6","ENSG00000169100.14_PAR_Y","protein_coding",25613378,"The depletion of Ant2 affects the permeability of mitochondrial membranes, leading to the entrance of calcium ions, ROS and other substances into the cytoplasm and causing cell death."
"MPT_driven_necrosis","BCL2","BCL2 apoptosis regulator","ENSG00000171791.14","protein_coding",37210868,"Bcl-2 family members are involved in MOMP-driven intrinsic apoptosis and are able to regulate MOMP process by controlling mitochondrial outer membrane permeability. The pore-forming Bcl-2 family members, such as BAX and BAK1, mediate MOMP process and are tightly linked to Ca2+ release from the ER via IP3Rs."
"MPT_driven_necrosis","BCL2L1","BCL2 like 1","ENSG00000171552.14","protein_coding",17136322,"Cyp D-deficient mice have also been used to show that the Cyp D-dependent MPT plays a crucial role in ischemia/reperfusion injury. The anti-apoptotic proteins Bcl-2 and Bcl-x(L) have the ability to block the MPT, and can therefore block MPT-dependent necrosis in addition to their well-established ability to inhibit apoptosis."
"MPT_driven_necrosis","BCL2L2","BCL2 like 2","ENSG00000129473.11","protein_coding",17136322,"Cyp D-deficient mice have also been used to show that the Cyp D-dependent MPT plays a crucial role in ischemia/reperfusion injury. The anti-apoptotic proteins Bcl-2 and Bcl-x(L) have the ability to block the MPT, and can therefore block MPT-dependent necrosis in addition to their well-established ability to inhibit apoptosis."
"MPT_driven_necrosis","BCL2L10","BCL2 like 10","ENSG00000137875.4","protein_coding",17136322,"Cyp D-deficient mice have also been used to show that the Cyp D-dependent MPT plays a crucial role in ischemia/reperfusion injury. The anti-apoptotic proteins Bcl-2 and Bcl-x(L) have the ability to block the MPT, and can therefore block MPT-dependent necrosis in addition to their well-established ability to inhibit apoptosis."
"MPT_driven_necrosis","MCL1","MCL1 apoptosis regulator, BCL2 family member","ENSG00000143384.14","protein_coding",34926454,"MCL1 is shown to regulate necrotic cell death driven by MPTP by modulating mitochondrial calcium retention capacity and MPTP sensitivity. When MCL1 is inhibited using BH3 mimetics, mitochondrial calcium retention capacity is lowered, and MPTP sensitivity is increased. Furthermore, inhibiting MCL1 also increases the activity of Bax and Bak, leading to exacerbated apoptosis and necrosis."
"MPT_driven_necrosis","PPIF","peptidylprolyl isomerase F","ENSG00000108179.14","protein_coding",25999420,"CypD is a key enzyme in regulating MPTP opening and is involved in MPT-driven cell death, especially related to regulated necrosis. The study shows that CypD promotes cell death by regulating the opening of MPTP in the mitochondrial matrix, and CsA has been shown to protect hepatocytes from necrotic cell death induced by calcium and oxidative stress."
"MPT_driven_necrosis","BAX","BCL2 associated X, apoptosis regulator","ENSG00000087088.21","protein_coding",25999420,"Bax and Bak heavily regulate the permeability characteristics of the outer mitochondrial membrane, playing an important role in MPT-driven necrosis."
"MPT_driven_necrosis","MLKL","mixed lineage kinase domain like pseudokinase","ENSG00000168404.13","protein_coding",25999420,"When MPTP is open and Bax and Bak are activated, MLKL is also activated, leading to the promotion of cell necrosis."
"MPT_driven_necrosis","RIPK3","receptor interacting serine/threonine kinase 3","ENSG00000129465.16","protein_coding",25999420,"When cells are stimulated to die, the receptor-interacting protein kinase (RIPK) domain interaction proteins can activate cell death pathways. RIPK3 plays a crucial role in death receptor-induced hepatocyte necrosis and regulates MPTP-mediated cell death via MLKL."
