"deathtype","gene","description","gene_id","gene_biotype","pmid","comment"
"Pyroptosis","BAK1","BCL2 antagonist/killer 1","ENSG00000030110.14","protein_coding",35439536,"BAK1 is a protein that promotes cell apoptosis. The protein level of BAK1 in cells treated with BPA is significantly higher than that in the control group. The action of YVAD clearly shows that caspase-1 regulates the relationship between BPA-induced pyroptosis and apoptosis."
"Pyroptosis","BAX","BCL2 associated X, apoptosis regulator","ENSG00000087088.21","protein_coding",32332857,"Chemotherapy-induced pyroptosis in cancer cells is mediated by BAK/BAX-caspase-3-GSDME signaling pathway."
"Pyroptosis","CASP1","caspase 1","ENSG00000137752.25","protein_coding",34531375,"PRMT5 can regulate cell pyroptosis in multiple myeloma by inhibiting the expression of CASP1. When PRMT5 expression is interfered, the expression of CASP1 is upregulated, thus promoting pyroptosis of multiple myeloma cells. Therefore, CASP1 is an important target for PRMT5 to regulate pyroptosis."
"Pyroptosis","CASP3","caspase 3","ENSG00000164305.20","protein_coding",33133646,"When GSDME is highly expressed, chemotherapeutic drugs can induce CASP3-dependent Pyroptosis, thereby shrinking tumors.CASP3 is a key protein that induces apoptosis and inflammatory cell death, which can link apoptosis and Pyroptosis."
"Pyroptosis","CASP4","caspase 4","ENSG00000196954.14","protein_coding",32109412,"Site-specific autoprocessing of Caspase-4/11 generates a p10 product that binds with high affinity to the GSDMD-C domain, facilitating cleavage of GSDMD and inducing Pyroptosis. Crystal structures of Caspase-4/11 and Caspase-1-GSDMD complexes revealed an exosite where the p10-form Caspase-4/11 hydrophobically binds GSDMD, promoting dimerization-mediated Caspase activation and cleavage independent of the tetrapeptide sequence."
"Pyroptosis","CASP5","caspase 5","ENSG00000137757.11","protein_coding",32109412,"CASP5 can generate a p10 product that binds with high affinity to the GSDMD-C (inhibitory domain of gasdermin D), facilitating cleavage of GSDMD and inducing Pyroptosis through site-specific autoprocessing."
"Pyroptosis","CASP6","caspase 6","ENSG00000138794.10","protein_coding",32298652,"CASP6 promotes pyroptosis induced by IAV infection and CASP6 deficiency reduces the number of cell deaths during IAV infection . In addition, CASP6 also participates in the activation of other cell death pathways."
"Pyroptosis","CASP8","caspase 8","ENSG00000064012.24","protein_coding",31748744,"The expression of enzymatically inactive CASP8(C362S) triggered the formation of ASC specks, activation of caspase-1 and secretion of IL-1¦Â, resulting in pyroptosis."
"Pyroptosis","CASP9","caspase 9","ENSG00000132906.18","protein_coding",27174943,"CASP9 does not seem to be directly related to Necroptosis.Injection of a CAS-9 inhibitor significantly inhibits high level CASP-1 activity in PI+/annexin V- (one of the characteristics of pyroptosis) cells . "
"Pyroptosis","SCAF11","SR-related CTD associated factor 11","ENSG00000139218","protein_coding",32109412,"CASP11 is involved in Pyroptosis by cleaving the Pyroptosis execution protein GSDMD to induce dimerization-mediated caspase activation and cleavage, and allowing the pore-forming domain of GSDMD to break down cell membranes and trigger inflammation and cytokine release. Structural analysis reveals that site-specific autoprocessing of CASP11 generates a p10 product that binds with high affinity to the GSDMD-C domain, facilitating cleavage of GSDMD and inducing Pyroptosis."
"Pyroptosis","CHMP2A","charged multivesicular body protein 2A","ENSG00000130724.10","protein_coding",37125940,"Baicalein can inhibit macrophage pyroptosis induced by Mtb infection by promoting autophagic degradation of AIM2 and NLRP3 inflammasomes, and downregulating the phosphorylation of CHMP2A."
"Pyroptosis","CHMP3","charged multivesicular body protein 3","ENSG00000115561.16","protein_coding",36188246,"CHMP3 was found to be a gene related to Pyroptosis. This gene was found to be useful in constructing a prognostic model for multiple myeloma."
"Pyroptosis","CHMP4A","charged multivesicular body protein 4A","ENSG00000254505.11","protein_coding",36071875,"HMP4A is identified as one of the HCC-associated pyroptosis-related genes based on systematic bioinformatics analysis focused on 40 pyroptosis-related genes. These 12 HCC-associated pyroptosis-related genes (HPRGs) are overexpressed in HCC tissues and significantly connected to poor patient survival. CHMP4A is among the HPRGs that are highly expressed in high-risk HCC patients."
"Pyroptosis","CHMP4B","charged multivesicular body protein 4B","ENSG00000101421.4","protein_coding",36071875,"CHMP4B is identified as one of the pyroptosis-related genes and overexpressed in HCC tissues, which is associated with poor patient survival. Moreover, CHMP4B is also part of the five-gene prognostic model."
