"deathtype","gene","description","gene_id","gene_biotype","pmid","comment"
"Entotic_cell_death","PRKAA1","protein kinase AMP-activated catalytic subunit alpha 1","ENSG00000132356","protein_coding",28683313,"It has recently been demonstrated that, in conditions of glucose withdrawal, cells displaying high 5¡ä AMP-activated protein kinase (AMPK) activity succumb to entosis, underscoring a possible function of this process for nutrient recovery by cells with comparatively lower AMPK activity (which a priori are metabolically fitter)."
"Entotic_cell_death","ATG5","autophagy related 5","ENSG00000057663.16","protein_coding",22002674,"The research found that ATG5, along with other autophagy proteins such as ATG7, played a critical role in Entotic cell death. When the expression of ATG5 was inhibited, the death of internalized cells was also reduced."
"Entotic_cell_death","ATG7","autophagy related 7","ENSG00000197548.13","protein_coding",22002674,"ATG7, an autophagy protein, is essential for facilitating lysosome fusion with single-membrane vacuoles, including entotic vacuoles, and the successful degradation of their internalized cargo. In the presence of autophagy proteins, LC3 and ATG7 recruit to the Entotic vacuole membrane and ultimately contribute to the cell's death."
"Entotic_cell_death","BECN1","beclin 1","ENSG00000126581.13","protein_coding",29362479,"Along similar lines, abolishing autophagy by pharmacological means or by genetically depleting_TG5_r_ECN1, prevents the neurotoxicity of cocaine in cultured neurons"
"Entotic_cell_death","CDC42","cell division cycle 42","ENSG00000070831.18","protein_coding",28693721,"The existence of a specific form of entosis occurring in cancer cells during mitosis (entotic mitosis), which is driven by aberrant mitotic rounding (and thus reduced adhesion) in conditions of cell division cycle 42 (CDC42) depletion or upon exposure to antimitotic agents."
"Entotic_cell_death","CDH1","cadherin 1","ENSG00000039068.20","protein_coding",18045538,"The uptake of entotic cells is an integrin-independent process promoted by the formation of junctions between engulfing and entotic cells that involve the adhesion proteins cadherin 1 (CDH1;  also known as E-cadherin) and catenin alpha 1 (CTNNA1)."
"Entotic_cell_death","CTNNA1","catenin alpha 1","ENSG00000044115.21","protein_coding",26192076,"The uptake of entotic cells is an integrin-independent process promoted by the formation of junctions between engulfing and entotic cells that involve the adhesion proteins cadherin 1 (CDH1;  also known as E-cadherin) and catenin alpha 1 (CTNNA1)."
"Entotic_cell_death","CYBB","cytochrome b-245 beta chain","ENSG00000165168.9","protein_coding",28847720,"LAP bridges phagocytosis and autophagy; this process is regulated by the core LC3 lipidation machinery (e.g., ATG5, ATG7, class III phosphatidylinositol 3-kinase complex [e.g., phosphatidylinositol 3-kinase catalytic subunit type 3 (PI3KC3), also known as VPS34], phosphoinositide-3-kinase regulatory subunit 4 [PIK3R4, also known as VPS15], and BECN1), cytochrome B-245 beta chain (CYBB, also known as NOX2)- mediated ROS production."
"Entotic_cell_death","MYH14","myosin heavy chain 14","ENSG00000105357.20","protein_coding",35265203,"The actin heavy chain encoded by MYH14 is a subtype of Myosin II, which plays an important role in cytoskeleton and cell movement.Myosin is related to NETosis mainly through its involvement in the organization of actomyosin cytoskeletal networks, which affects PKC¦Á nuclear translocation and thereby affects the formation of NETs. Specifically, inhibiting actin polymerization or regulating myosin II alb/MLCK-mediated actomyosin cytoskeletal networks by inhibiting NETosis induction of PMA reduces the formation of NETs."
"Entotic_cell_death","PIK3C3","phosphatidylinositol 3-kinase catalytic subunit type 3","ENSG00000078142","protein_coding",28847720,"LAP bridges phagocytosis and autophagy; this process is regulated by the core LC3 lipidation machinery (e.g., ATG5, ATG7, class III phosphatidylinositol 3-kinase complex [e.g., phosphatidylinositol 3-kinase catalytic subunit type 3 (PI3KC3), also known as VPS34], phosphoinositide-3-kinase regulatory subunit 4 [PIK3R4, also known as VPS15], and BECN1), cytochrome B-245 beta chain (CYBB, also known as NOX2)- mediated ROS production."
"Entotic_cell_death","PIK3R4","phosphoinositide-3-kinase regulatory subunit 4","ENSG00000196455","protein_coding",28847720,"LAP bridges phagocytosis and autophagy; this process is regulated by the core LC3 lipidation machinery (e.g., ATG5, ATG7, class III phosphatidylinositol 3-kinase complex [e.g., phosphatidylinositol 3-kinase catalytic subunit type 3 (PI3KC3), also known as VPS34], phosphoinositide-3-kinase regulatory subunit 4 [PIK3R4, also known as VPS15], and BECN1), cytochrome B-245 beta chain (CYBB, also known as NOX2)- mediated ROS production."
"Entotic_cell_death","RHOA","ras homolog family member A","ENSG00000067560.14","protein_coding",25342558,"Actomyosin chains accumulate at the cortex of internalizing cells (at the pole opposite to the cell-to-cell contact site), via a mechanism that depends on the localized activity of ras homolog family member A (RHOA), Rho associated coiled-coil containing protein kinase 1 (ROCK1), ROCK2, and diaphanous related formin 1 (DIAPH1), and results in a contraction that promotes engulfment."
"Entotic_cell_death","RNF146","ring finger protein 146","ENSG00000118518.17","protein_coding",29362479,"Further corroborating a key role for poly(ADP-ribosyl)ation in parthanatos, the poly(ADP-ribose)-degrading protein ADP-ribosylhydrolase like 2 (ADPRHL2; also known as ARH3) and the poly(ADP-ribose)-binding protein ring finger protein 146 (RNF146; best known as IDUNA) prevent AIF release and consequent RCD as they decrease poly(ADP-ribose) levels and availability, respectively."
