"deathtype","gene","description","gene_id","gene_biotype","pmid","comment"
"Necroptosis","GLUD1","glutamate dehydrogenase 1","ENSG00000148672.10","protein_coding",30029665,"The activation of GLUD1 led to the disruption of metabolic balance and cell death. Resibufogenin induces cell death dependent on necroptosis by activating RIP3 and phosphorylating mixed lineage kinase domain-like protein at Ser358, thus significantly upregulating the expression of GLUD1 and inducing necroptosis."
"Necroptosis","ALOX15","arachidonate 15-lipoxygenase","ENSG00000161905.13","protein_coding",29891910,"Necroptosis occurred in the skin in the absence of ALOX15. In addition, apoptosis markers were also upregulated in the dorsal skin of ALOX15 KO mice.  ALOX15 plays a critical role in maintaining skin health and its absence can disrupt skin homeostasis and may contribute to the development of skin diseases."
"Necroptosis","FTH1","ferritin heavy chain 1","ENSG00000167996.16","protein_coding",32984939,"Low concentrations of boron can promote cell proliferation and differentiation by inhibiting the expression of FTH1, reducing iron ion accumulation and ROS production in cells, and thereby reducing cell death. In contrast, high concentrations of boron can increase ROS production by promoting the expression of FTH1, inducing apoptosis and necrosis."
"Necroptosis","CAPN1","calpain 1","ENSG00000014216.16","protein_coding",37168851,"CAPN1 activation has been demonstrated to degrade cytoskeleton proteins, vital enzymes, and mitochondrial membrane-related proteins, which may play a primary role in ischemia-induced neuronal injury, and hypoxia ischemic injury is a condition that induces Necroptosis."
"Necroptosis","CASP1","caspase 1","ENSG00000137752.25","protein_coding",36389690,"CASP1 is involved in the regulation of necroptosis. In this study, CASP1 was one of the three selected necroptosis-related genes used to construct a prognostic model and risk score system to predict the prognosis of glioma patients."
"Necroptosis","BAX","BCL2 associated X, apoptosis regulator","ENSG00000087088.21","protein_coding",32768820,"Chlorpyrifos (CPF) could promote the expression of BAX mRNA and protein and induce apoptosis and necroptosis of L8824 cells. CPF could also activate the expression of genes related to the Necroptosis pathway, including RIPK1, RIPK3, and MLKL."
"Necroptosis","BCL2","BCL2 apoptosis regulator","ENSG00000171791.14","protein_coding",31634424,"Fisetin can reduce the expression of the anti-apoptotic protein BCL2 and increase the levels of pro-apoptotic proteins Bax, caspase-3, and PARP in HepG2 cells, inducing cell death through apoptosis pathway, and can also induce cell death through necroptosis pathway, as evidenced by the increase of RIPK1, pRIPK1, RIPK3, pRIPK3, and MLKL molecules.Fisetin can activate RIPK1, pRIPK1, RIPK3, pRIPK3, and MLKL molecules by increasing TNF¦Á-induced ROS levels, thereby inducing necroptosis."
"Necroptosis","FADD","Fas associated via death domain","ENSG00000168040.5","protein_coding",36191211,"The absence of Caspase-8 or FADD can lead to spontaneous activation of RIPK3, phosphorylation of MLKL, and necroptosis.the proteolytic activity of the FADD/Caspase-8 complex can inhibit ZBP1-induced necroptosis. This inhibitory action is important for embryonic development and adult tissues. It confirms that the absence of RIPK3 or MLKL can protect FADD or Caspase-8 deletion from serious effects during embryonic development or on adult tissues. "
"Necroptosis","RIPK1","receptor interacting serine/threonine kinase 1","ENSG00000137275.16","protein_coding",27493188,"The absence of Optineurin leads to progressive dysmyelination and axonal degeneration in the central nervous system through the engagement of Necroptotic machinery, including RIPK1, RIPK3, and MLKL. Inhibiting RIPK1 kinase may provide an axonal protective strategy for treating ALS.RIPK1 is considered a critical mediator of axonal pathology in ALS."
"Necroptosis","TNF","tumor necrosis factor","ENSG00000232810.5","protein_coding",31221990,"TNF is one of the key factors in the formation of Necroptosis, inducing the formation of RIPK1 and RIPK3 Necrosome through TNFR1 in different cell types, which leads to the phosphorylation and oligomerization of MLKL, directly exerting multiple pathological effects. Necroptosis is involved in the pathogenesis of many diseases."
"Necroptosis","TNFRSF1A","TNF receptor superfamily member 1A","ENSG00000067182.9","protein_coding",26344099,"The interaction between TNFRSF1A and TNF activates complex I, which includes RIPK1. RIKP1 is phosphorylated by the NEMO subunit of the IKK complex in complex I to protect cells from RIPK1 kinase-dependent death. However, inhibition of the IKK complex makes cells more sensitive to death, causing RIPK1 kinase-dependent apoptosis or necroptosis."
"Necroptosis","TRADD","TNFRSF1A associated via death domain","ENSG00000102871.16","protein_coding",32039207,"TRADD binds to RIPK3 to form a new protein complex, which promotes the phosphorylation and oligomerization of RIPK3, leading to the activation of the RIPK3-MLKL signaling pathway and the induction of Necroptosis. TRADD is critical for the accumulation of reactive oxygen species  required for TNF-induced RIPK1-independent Necroptosis."
