"deathtype","gene","description","gene_id","gene_biotype","pmid","comment"
"Ferroptosis","RPL8","ribosomal protein L8","ENSG00000161016.18","protein_coding",22632970,"Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis."
"Ferroptosis","IREB2","iron responsive element binding protein 2","ENSG00000136381.13","protein_coding",22632970,"Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis."
"Ferroptosis","ATP5MC3","ATP synthase membrane subunit c locus 3","ENSG00000154518.10","protein_coding",22632970,"Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis."
"Ferroptosis","CS","citrate synthase","ENSG00000062485.19","protein_coding",22632970,"Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis."
"Ferroptosis","EMC2","ER membrane protein complex subunit 2","ENSG00000104412.8","protein_coding",22632970,"Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis."
"Ferroptosis","ACSF2","acyl-CoA synthetase family member 2","ENSG00000167107.13","protein_coding",22632970,"Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis."
"Ferroptosis","NOX1","NADPH oxidase 1","ENSG00000007952.18","protein_coding",22632970,"Suppresses erastin-induced ferroptosis when inhibited by inhibitor."
"Ferroptosis","CYBB","cytochrome b-245 beta chain","ENSG00000165168.9","protein_coding",22632970,"Suppresses erastin-induced ferroptosis when inhibited by inhibitor."
"Ferroptosis","NOX3","NADPH oxidase 3","ENSG00000074771.4","protein_coding",22632970,"Suppresses erastin-induced ferroptosis when inhibited by inhibitor."
"Ferroptosis","NOX4","NADPH oxidase 4","ENSG00000086991.13","protein_coding",22632970,"Suppresses erastin-induced ferroptosis when inhibited by inhibitor."
"Ferroptosis","NOX5","NADPH oxidase 5","ENSG00000290203.13","protein_coding",22632970,"Suppresses erastin-induced ferroptosis when inhibited by inhibitor."
"Ferroptosis","NOX5","NADPH oxidase 5","ENSG00000255346.11","protein_coding",22632970,"Suppresses erastin-induced ferroptosis when inhibited by inhibitor."
"Ferroptosis","DUOX1","dual oxidase 1","ENSG00000137857.18","protein_coding",22632970,"Suppresses erastin-induced ferroptosis when inhibited by inhibitor."
"Ferroptosis","DUOX2","dual oxidase 2","ENSG00000140279.13","protein_coding",22632970,"Suppresses erastin-induced ferroptosis when inhibited by inhibitor."
"Ferroptosis","G6PD","glucose-6-phosphate dehydrogenase","ENSG00000160211.20","protein_coding",22632970,"Required in erastin-induced ferroptosis."
"Ferroptosis","PGD","phosphogluconate dehydrogenase","ENSG00000142657.21","protein_coding",22632970,"Required in erastin-induced ferroptosis."
"Ferroptosis","VDAC2","voltage dependent anion channel 2","ENSG00000165637.14","protein_coding",22632970,"Required in erastin-induced ferroptosis."
"Ferroptosis","PIK3CA","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","ENSG00000121879.6","protein_coding",24739485,"Inhibitor blocked ferroptotic cell death."
"Ferroptosis","FLT3","fms related receptor tyrosine kinase 3","ENSG00000122025.15","protein_coding",24739485,"Inhibitor blocked ferroptotic cell death."
"Ferroptosis","SCP2","sterol carrier protein 2","ENSG00000116171.19","protein_coding",25402683,"SCP-2 inhibitors showed anti-ferroptotic activity, which was substantiated by knocking down SCP-2 in Gpx4_?_?cells."
"Ferroptosis","TP53","tumor protein p53","ENSG00000141510.18","protein_coding",25799988,"Inhibits cystine uptake and sensitizes cells to ferroptosis. Erastin induced high levels of cell death in p53+/+ MEFs."
"Ferroptosis","ACSL4","acyl-CoA synthetase long chain family member 4","ENSG00000068366.21","protein_coding",25965523,"Deletion of this gene likely suppress ferroptosis by limiting the membrane-resident pool of oxidation-sensitive fatty acids."
"Ferroptosis","LPCAT3","lysophosphatidylcholine acyltransferase 3","ENSG00000111684.11","protein_coding",25965523,"Deletion of this gene likely suppress ferroptosis by limiting the membrane-resident pool of oxidation-sensitive fatty acids."
"Ferroptosis","NRAS","NRAS proto-oncogene, GTPase","ENSG00000213281.5","protein_coding",26157704,"NRAS12V mutant protects RMS13 cells from ferroptotic cell death."
"Ferroptosis","KRAS","KRAS proto-oncogene, GTPase","ENSG00000133703.14","protein_coding",26157704,"KRAS12V mutant protects RMS13 cells from ferroptotic cell death."
"Ferroptosis","HRAS","HRas proto-oncogene, GTPase","ENSG00000174775.18","protein_coding",26157704,"HRAS12V mutant protects RMS13 cells from ferroptotic cell death."
"Ferroptosis","TF","transferrin","ENSG00000091513.16","protein_coding",26166707,"Essential for the induction of ferroptotic cell death. Transferrin can only interact with transferrin receptor and be transported into the cell when it is loaded with iron."
"Ferroptosis","TFRC","transferrin receptor","ENSG00000072274.14","protein_coding",26166707,"RNAi of transferrin receptor (TfR) inhibited ferroptosis."
"Ferroptosis","TFR2","transferrin receptor 2","ENSG00000106327.13","protein_coding",26166707,"RNAi of transferrin receptor (TfR) inhibited ferroptosis."
"Ferroptosis","SLC38A1","solute carrier family 38 member 1","ENSG00000111371.16","protein_coding",26166707,"RNAi knockdown markedly blocked ferroptosis."
"Ferroptosis","SLC1A5","solute carrier family 1 member 5","ENSG00000105281.12","protein_coding",26166707,"Pharmacological inhibition by L-g-glutamyl-p-nitroanilide or RNAi knockdown markedly blocked ferroptosis."
"Ferroptosis","GLS2","glutaminase 2","ENSG00000135423.13","protein_coding",26166707,"Both inhibitor inhibition and gene knockdown inhibit ferroptotic cell death."
"Ferroptosis","GOT1","glutamic-oxaloacetic transaminase 1","ENSG00000120053.12","protein_coding",26166707,"RNAi reduced ferroptosis."
"Ferroptosis","CARS1","cysteinyl-tRNA synthetase 1","ENSG00000110619.18","protein_coding",26184909,"Required for ferroptosis in diverse cell contexts. Knockdown of CARS inhibited erastin-induced death by preventing the induction of lipid reactive oxygen species, without altering iron homeostasis."
"Ferroptosis","TP53","tumor protein p53","ENSG00000141510.18","protein_coding",26218928,"Wild type p53 can induce ferroptosis upon reactive oxygen species (ROS)-induced stress."
"Ferroptosis","ALOX5","arachidonate 5-lipoxygenase","ENSG00000012779.12","protein_coding",26235588,"The 5-Lipoxygenase inhibitor zileuton protected HT22 neuronal cells from erastin-induced ferroptosis."
"Ferroptosis","KEAP1","kelch like ECH associated protein 1","ENSG00000079999.14","protein_coding",26403645,"Knockdown of Keap1 reversed loss of p62-increased degradation of NRF2 in ferroptosis. Keap1 knockdown led to resistance to erastin-induced and sorafenib-induced growth inhibition with decreased ferroptotic events in the absence or presence of p62 knockdown."
"Ferroptosis","HMOX1","heme oxygenase 1","ENSG00000100292.18","protein_coding",26405158,"Zinc protoporphyrin IX, a HO-1 inhibitor, prevented Erastin-triggered ferroptotic cancer cell death. Overexpression accelerates erastin-induced cell death."
"Ferroptosis","TP53","tumor protein p53","ENSG00000141510.18","protein_coding",26943586,"p53^3KR/3KR Xrcc4^-/- MEF cells are very sensitive to ferroptosis. Stabilized in the spleens of p53^3KR/3KR Xrcc4^-/- mice which enables to prevent the development of pro-B-cell lymphomas."
"Ferroptosis","TP53","tumor protein p53","ENSG00000141510.18","protein_coding",27034505,"Incubation with erastin led to profound cell death in wild-type MEFs."
"Ferroptosis","GLS2","glutaminase 2","ENSG00000135423.13","protein_coding",27034505,"Upregulated in erastin-treated wild-type MEFs, and silencing Gls2 exihibits cell death defect in wild-type MEFs treated with erastin."
"Ferroptosis","ATG5","autophagy related 5","ENSG00000057663.16","protein_coding",27245739,"Knockout or knockdown limited erastin-induced ferroptosis."
"Ferroptosis","ATG7","autophagy related 7","ENSG00000197548.13","protein_coding",27245739,"Knockout or knockdown limited erastin-induced ferroptosis."
"Ferroptosis","NCOA4","nuclear receptor coactivator 4","ENSG00000266412.6","protein_coding",27245739,"Inhibition suppressed ferroptosis, and overexpression promoted ferroptosis."
"Ferroptosis","TF","transferrin","ENSG00000091513.16","protein_coding",27441659,"Involved in siramesine and lapatinib-induced ferroptotic cell death. Increased following treatment with lapatinib alone or in combination with siramesine. Knocking down of transferrin resulted in decreased cell death and ROS after treatment."
"Ferroptosis","ALOX5","arachidonate 5-lipoxygenase","ENSG00000012779.12","protein_coding",27506793,"Silencing ALOX genes made cells resistant to ferroptosis."
"Ferroptosis","ALOX12","arachidonate 12-lipoxygenase, 12S type","ENSG00000108839.12","protein_coding",27506793,"Silencing ALOX genes made cells resistant to ferroptosis."
"Ferroptosis","ALOX12B","arachidonate 12-lipoxygenase, 12R type","ENSG00000179477.11","protein_coding",27506793,"Silencing ALOX genes made cells resistant to ferroptosis."
"Ferroptosis","ALOX15","arachidonate 15-lipoxygenase","ENSG00000161905.13","protein_coding",27506793,"Silencing ALOX genes made cells resistant to ferroptosis."
"Ferroptosis","ALOX15B","arachidonate 15-lipoxygenase type B","ENSG00000179593.16","protein_coding",27506793,"Silencing ALOX genes made cells resistant to ferroptosis. Erastin-induced cell death was rescued by silencing either ALOX15B or ALOXE3, which supported the hypothesis that lipoxygenases are required for ferroptosis."
"Ferroptosis","ALOXE3","arachidonate lipoxygenase 3","ENSG00000179148.10","protein_coding",27506793,"Silencing ALOX genes made cells resistant to ferroptosis. Erastin-induced cell death was rescued by silencing either ALOX15B or ALOXE3, which supported the hypothesis that lipoxygenases are required for ferroptosis."
"Ferroptosis","PHKG2","phosphorylase kinase catalytic subunit gamma 2","ENSG00000156873.16","protein_coding",27506793,"U-2-OS cells became resistant to erastin upon PHKG2 silencing. Erastin-treated HT-1080 cells were rescued by shPHKG2."
"Ferroptosis","TFRC","transferrin receptor","ENSG00000072274.14","protein_coding",27514700,"The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis."
"Ferroptosis","ACO1","aconitase 1","ENSG00000122729.19","protein_coding",27514700,"The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis."
"Ferroptosis","IREB2","iron responsive element binding protein 2","ENSG00000136381.13","protein_coding",27514700,"The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis."
"Ferroptosis","SLC38A1","solute carrier family 38 member 1","ENSG00000111371.16","protein_coding",27514700,"The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis."
"Ferroptosis","GLS2","glutaminase 2","ENSG00000135423.13","protein_coding",27514700,"The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis."
"Ferroptosis","G6PD","glucose-6-phosphate dehydrogenase","ENSG00000160211","protein_coding",27514700,"The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis."
"Ferroptosis","ULK1","unc-51 like autophagy activating kinase 1","ENSG00000177169.10","protein_coding",27514700,"Potential positive regulators of ferroptosis. Knockout of ULK1 led to significantly lower levels of erastin-induced ferroptosis in a dose- and time-dependent manner."
"Ferroptosis","ATG3","autophagy related 3","ENSG00000144848.11","protein_coding",27514700,"Potential positive regulators of ferroptosis. Knockout of ATG3 greatly reduced the sensitivity of MEFs to ferropotosis, and reconstituting ATG3 back to these cells restored the ferroptosis sensitivity."
"Ferroptosis","ATG4D","autophagy related 4D cysteine peptidase","ENSG00000130734.10","protein_coding",27514700,"Potential positive regulators of ferroptosis."
"Ferroptosis","ATG5","autophagy related 5","ENSG00000057663.16","protein_coding",27514700,"Potential positive regulators of ferroptosis. Knockout of ATG5 led to significantly lower levels of erastin-induced ferroptosis in a dose- and time-dependent manner."
"Ferroptosis","BECN1","beclin 1","ENSG00000126581.13","protein_coding",27514700,"Potential positive regulators of ferroptosis."
