"deathtype","gene","description","gene_id","gene_biotype","pmid","comment"
"Apoptosis","AATF","apoptosis antagonizing transcription factor","ENSG00000275700.6","protein_coding",29321668,"AATF is involved in the regulation of apoptosis by inhibiting p53-driven apoptosis and modulating cellular outcome of the DDR signaling pathway. It is a p53 regulator that affects the transcription of TP53 and binds directly to p53. Upregulation of AATF expression in various cancers can suppress apoptosis and promote tumorigenesis."
"Apoptosis","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase","ENSG00000097007.20","protein_coding",31311809,"BCR-ABL1 is a kinase that phosphorylates PDK1 in the PI3K/AKT pathway. The phosphorylation of PDK1 is essential for maintaining AKT activity and subsequently, sustaining BCR-ABL1 cell survival signals. Inducing BCR-ABL1 degradation may result in the degradation of PDK1 and AKT, thereby weakening LSC's cell survival signals and leading to apoptosis. "
"Apoptosis","ACAA2","acetyl-CoA acyltransferase 2","ENSG00000167315.18","protein_coding",29323178,"ACAA2 participates in cellular biological processes by regulating cell apoptosis. Overexpression of ACAA2 can induce cell apoptosis, while shRNA interference can inhibit this process."
"Apoptosis","ACKR3","atypical chemokine receptor 3","ENSG00000144476.6","protein_coding",33868792,"Through single-cell RNA sequencing, it was found that there were changes in the expression levels of ACKR3 and other genes before and after PD-1 targeted therapy, including EGFR, AREG, WNT5A, PTPRK, GAS6, and ACKR3. Among them, ACKR3 and GAS6 showed differential expression levels after treatment in the tumors that responded to PD-1 treatment. These results suggest that ACKR3 may play a role in regulating apoptosis in PD-1 therapy"
"Apoptosis","ACVR1","activin A receptor type 1","ENSG00000115170.16","protein_coding",28459464,"ACVR1 is related to Apoptosis in this paper and it is a crucial member of the bone morphogenetic protein (BMP) signaling pathway that induces apoptosis of patient-derived glioma-initiating cells (GICs)"
"Apoptosis","ACVR1B","activin A receptor type 1B","ENSG00000135503.13","protein_coding",37020544,"ACVR1B participates in regulating immune cell apoptosis, thus helping to eliminate infected cells and reduce pathogen burden. An increase in ACVR1B mRNA levels has been observed through large-scale cohort studies targeting adult and pediatric sepsis."
"Apoptosis","ADORA1","adenosine A1 receptor","ENSG00000163485.17","protein_coding",33961854,"Overexpression of ADORA1 decreases cleaved Caspase-3 and PARP expression, leading to reduced NPC cell apoptosis. Conversely, ADORA1 knockdown increases TRAIL-induced apoptosis sensitivity, resulting in upregulation of apoptotic markers."
"Apoptosis","AEN","apoptosis enhancing nuclease","ENSG00000181026.15","protein_coding",18264133,"AEN was found to be a direct target gene of p53 and an important downstream mediator of p53 in inducing apoptosis in this article. AEN is a typical exonuclease containing three conserved exonuclease domains, and its expression is regulated by the phosphorylation status of p53. AEN also possesses nuclear and nucleolar localization signals and translocates from the nucleolus to nucleoplasm upon execution of apoptosis. AEN amplifies DNA damage signals by digesting double-stranded DNA to form single-stranded DNA, leading to the enhancement of apoptosis."
"Apoptosis","AGT","angiotensinogen","ENSG00000135744.9","protein_coding",14997208,"The components of the renin _ angiotensin system (RAS) may be involved in cell growth and survival.Angiotensinogen (AGT) was shown to inhibit vascular cell growth and angiogenesisHuman glioblastoma cells can synthesize Renin and Angiotensinogen (AGT), and also secrete AGT.The addition of Renin inhibitors could induce apoptosis of glioblastoma cells, inhibit their DNA synthesis, and reduce viable tumor cell numbers."
"Apoptosis","AGTR2","angiotensin II receptor type 2","ENSG00000180772.8","protein_coding",15221785,"The frequency of a TAATGC haplotype significantly increased in preeclampsia patients, which includes nucleotides g.1701, g.2041, g.2184, g.4673, g.4679 and g.4975. This haplotype may lead to overexpression of AGTR2, which inhibits the normal effects of AII and increases the possibility of apoptosis."
"Apoptosis","AIFM1","apoptosis inducing factor mitochondria associated 1","ENSG00000156709.15","protein_coding",34974310,"AIFM1 maintains the function of mitochondrial respiratory chain complex I in healthy cells, while under cell death signaling stimuli, it is cleaved by calpains and then released from mitochondria into the cytosol and transported to the nucleus to cause cell death by chromatin condensation and large-scale DNA fragmentation."
"Apoptosis","AKT1","AKT serine/threonine kinase 1","ENSG00000142208.18","protein_coding",26921108,"AKT1 is involved in Apoptosis by inducing macrophage-mediated mitochondrial autophagy and increasing TGF-¦Â1 expression.AKT1 kinase activity induces macrophage mitochondrial reactive oxygen species (ROS) and mitophagy."
"Apoptosis","ANXA6","annexin A6","ENSG00000197043.15","protein_coding",34238922,"ANXA6 affects ubiquitination and degradation of EGFR, thereby inhibiting drug sensitivity.Exosomes derived from gemcitabine-resistant cells increase cell viability and inhibit apoptosis in sensitive TNBC cells, inducing gemcitabine resistance through ANXA6 upregulation."
"Apoptosis","APAF1","apoptotic peptidase activating factor 1","ENSG00000120868.14","protein_coding",11706994,"APAF1 is a key component of the apoptosome, which activates the mitochondrial pathway of cell death. Deficiency in murine APAF1 leads to embryonic lethality with a phenotype affecting many aspects of developmental apoptosis, particularly prominent in the brain and inner ear. APAF1 is also mutated in human melanomas, and its depletion contributes to malignant transformation in a mouse model of cancer, revealing the importance of APAF1 in the onset and progression of cancer."
"Apoptosis","APPL1","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1","ENSG00000157500.12","protein_coding",28011992,"APPL1 deficiency can lead to cell death of the insulin-family cells.Additionally, the study found that APPL1 can reduce beta cell apoptosis induced by multiple-low-dose streptozotocin.APPL1 prevents these negative effects by dampening the NF¦ÊB_iNOS_NO axis,representing an important pathway regulating mechanism."
"Apoptosis","AR","androgen receptor","ENSG00000169083.18","protein_coding",15313417,"AR is related to apoptosis through post-translational modifications.In rodents,the AR and its C-terminal portion regulate apoptosis through the p53 pathway.Inhibition of AR leads to the cell cycle entering apoptosis.In humans,AR also regulates apoptosis in cell lines that overexpress AR."
"Apoptosis","ARHGEF2","Rho/Rac guanine nucleotide exchange factor 2","ENSG00000116584.22","protein_coding",33643817,"ARHGEF2 activates TRKs,promoting cell proliferation,differentiation or inhibiting apoptosis.Overexpression of ARHGEF2 has been associated with the occurrence of some tumors,such as melanoma,hepatocellular carcinoma,and gastric cancer.When TRKs are inhibited,ARHGEF2 cannot activate the TRK signaling pathway,leading to apoptosis."
