"deathtype","gene","description","gene_id","gene_biotype","pmid","comment"
"Lysosome_dependent_cell_death","AP3B1","adaptor related protein complex 3 subunit beta 1","ENSG00000132842.15","protein_coding",14566336,"AP3B1 is a subunit of the AP-3 complex and is related to lysosome dependent cell death. The loss of AP-3 in HPS2 patients leads to the inability of CTLs (cytotoxic T lymphocytes) to perform lysosome dependent cell death, which is due to the lack of AP-3 subunits during degradation, resulting in lytic granules being unable to polarize and secrete towards the immunological synapse via microtubules.Meanwhile, in the AP-3 deficient CTLs, the size of lytic granules also shows an enlargement."
"Lysosome_dependent_cell_death","ASAH1","N-acylsphingosine amidohydrolase 1","ENSG00000104763.20","protein_coding",33221496,"The study found that the deletion of the Asah1 gene resulted in a significant reduction in LAMP-1 in podocyte-specific Asah1 gene knockout mice, indicating that Asah1 deletion caused an overload of lysosomes, leading to decreased intracellular degradation capacity. In addition, our results indicate that Asah1 gene expression is critically important for the control of TRPML1 channel activity, and TRPML1 channel dysfunction leads to lysosome-MVB interaction disruption and increased exosome release."
"Lysosome_dependent_cell_death","ATP6V0A2","ATPase H+ transporting V0 subunit a2","ENSG00000185344.15","protein_coding",32234325,"ATP6V0A2 is a subunit embedded in the lysosomal membrane, involved in regulating its acidification process. During H1N1 infection, the active form of ATP6V0A2 is reduced, which may be related to a decrease in lysosomal function. This type of cell death, Lysosome dependent cell death, which is related to lysosomes, has also been observed and significantly promotes H1N1-induced cell death. The ATP6V0A2 might be involved in Lysosome dependent cell death."
"Lysosome_dependent_cell_death","ATP6V1H","ATPase H+ transporting V1 subunit H","ENSG00000047249.18","protein_coding",33966596,"The study shows that overexpression of CREG1 promotes the expression and acidification of ATP6V1H, which helps to accelerate lysosome-mediated protein degradation and autophagy pathway."
"Lysosome_dependent_cell_death","CTSL","cathepsin L","ENSG00000135047.16","protein_coding",29362479,"TSL (cathepsin L) is related to Lysosome dependent cell death by promoting the permeability of primary lysosome membranes."
"Lysosome_dependent_cell_death","BAX","BCL2 associated X, apoptosis regulator","ENSG00000087088.21","protein_coding",29362479,"In some situations, BAX can interact with lysosomal membrane and activate the pores formed on it, leading to primary lysosomal membrane permeabilization and cell lysis, thus participating in Lysosome-dependent cell death."
"Lysosome_dependent_cell_death","DRAM1","DNA damage regulated autophagy modulator 1","ENSG00000136048.14","protein_coding",29362479,"It is a p53 effector and a modulator of autophagy. In HIV1-infected T cells, DRAM1 provided a major contribution to Lysosome-dependent cell death by linking LMP to MOMP."
"Lysosome_dependent_cell_death","HSPA1A","heat shock protein family A (Hsp70) member 1A","ENSG00000204389.10","protein_coding",29362479,"Involvement of HSPA1A in lysosome-dependent cell death occurs through enhancing stabilization of lysosomal membranes. By increasing the activity of HSP70, or through administration of recombinant HSP70 or HSP70-inducing agent arimiclomol, lysosomal abnormalities can be reverted and LMP and cathepsin activity suppressed."
"Lysosome_dependent_cell_death","PRTN3","proteinase 3","ENSG00000196415.10","protein_coding",29362479,"In Lysosome dependent cell death, PRTN3 participates in the process of cell death by catalyzing the proteolytic activation of CASP3"
"Lysosome_dependent_cell_death","CTSB","cathepsin B","ENSG00000164733.22","protein_coding",29362479,"CTSB is a member of the cathepsin family and is an extremely important protease in the cytoplasm and intramembrane system which participates in the degradation of extracellular proteins, adhesion plaques, and phagocytosis. In the process of Lysosome dependent cell death, the release of CTSB will initiate and worsen RCD, leading to cell death eventually."
"Lysosome_dependent_cell_death","CTSL","cathepsin L","ENSG00000135047.16","protein_coding",29362479,"CTSL usually triggers Lysosome-dependent cell death by catalyzing the proteolytic activation or inactivation of several substrates, including BID, BAX, anti-apoptotic BCL2 family members, and XIAP."
"Lysosome_dependent_cell_death","SERPINA3","serpin family A member 3","ENSG00000196136.18","protein_coding",29362479,"SERPINA3 plays a negative regulatory role. Its expression level is inversely related to the expression of cathepsin B (CTSB) and CTSL, which are associated with LCD. Targeted interference with SERPINA3 enhances the occurrence of LCD."
"Lysosome_dependent_cell_death","BAX","BCL2 associated X, apoptosis regulator","ENSG00000087088.21","protein_coding",29362479,"Some studies have reported the interaction between BAX and lysosomal membranes, leading to the formation of pores associated with cell death. In addition, BAX can translocate to lysosomal membranes and facilitate their depolarization, contributing to LDCD.["
"Lysosome_dependent_cell_death","BID","BH3 interacting domain death agonist","ENSG00000015475.19","protein_coding",29362479,"Lysosome dependent cell death is initiated by unknown mechanisms that cause LMP, increase lysosomal enzyme activity, and release lysosomal contents, including proteolytic enzymes of the cathepsin family, to the cytoplasm . These enzymes can then cooperate with tBID to induce MOMP of mitochondria, leading to cell death."
"Lysosome_dependent_cell_death","CTSD","cathepsin D","ENSG00000117984.15","protein_coding",23720375,"CTSD is one of the main proteases responsible for lysosome dependent cell death, which is released into the cytosol after Lysosomal membrane permeabilization (LMP) to execute cell death."
"Lysosome_dependent_cell_death","TNF","tumor necrosis factor","ENSG00000232810.5","protein_coding",23720375,"TNF ¦Á is a proinflammatory cytokine that can induce lysosomal cell death. Studies have shown that TNF ¦Á can induce lysosomal membrane permeabilization and lysosomal contents leakage, leading to lysosomal cell death."
"Lysosome_dependent_cell_death","TNFSF10","TNF superfamily member 10","ENSG00000121858.11","protein_coding",23720375,"TNFSF10 can induce Lysosome dependent cell death by activating death receptors, such as DR5 and DR4. During the induction of Lysosome dependent cell death by TNFSF10, it can inhibit the cleavage of the anti-apoptotic factor Bid by reducing the expression of CTSB.?,
MITF,Lysosome_dependent_cell_death,30125440,Lysosome-dependent cell death (LDCD) is a type of cell death related to the MiTF/TFE family and LMP.MITF is a transcription factor family that is involved in coordinating lysosomal expression and regulation.,
TFE3,Lysosome_dependent_cell_death,30125440,TFE3 is considered as one of the key factors in lysosome dependent cell death. TFE3 is a member of the MiTF/TFE transcription factor family and together with the CLEAR gene network"
"Lysosome_dependent_cell_death","BAK1","BCL2 antagonist/killer 1","ENSG00000030110.14","protein_coding",30125440,"Translocation of Bax and BAK1 into lysosomes can lead to lysosomal membrane permeabilization and autophagic cell death."
"Lysosome_dependent_cell_death","STAT3","signal transducer and activator of transcription 3","ENSG00000168610.16","protein_coding",30125440,"STAT3 participates in the regulation of milk fat globule uptake and lysosomal membrane permeabilization (LMP) during breast gland involution, thereby controlling cell death processes."
"Lysosome_dependent_cell_death","EPS15","epidermal growth factor receptor pathway substrate 15","ENSG00000085832.18","protein_coding",32943616,"Reducing EPS15 expression inhibited the effect of DRAM1 on the endocytosis and degradation of EGFR, resulting in increased expression of EGFR protein and promoted cell growth and proliferation.?,
DRAM1,Lysosome_dependent_cell_death,32943616,DRAM1 is related to lysosome-dependent cell death by promoting lysosomal membrane destabilization and releasing lysosomal proteases"
"Lysosome_dependent_cell_death","ATP13A2","ATPase cation transporting 13A2","ENSG00000159363.19","protein_coding",32943616,"ATP13A2 is mentioned as a P-type ATPase and its loss of function can induce general lysosomal deficiency and lead to Parkinson's disease neurodegenerative disease"
"Lysosome_dependent_cell_death","ATP6V1D","ATPase H+ transporting V1 subunit D","ENSG00000100554","protein_coding",32943616,"ATP6V1D, as part of V-ATPase, regulates lysosomal pH and plays an important role in lysosome-dependent cell death."
